class,emojis
{love},❤️
{love},😍
{love},💕
{love},😘
{love},💖
{love},💞
{love},🙈
{love},❣️
{love},😻
{love},💘
{kind-smile},😊
{kind-smile},🤗
{kind-smile},😇
{kind-smile},🙂
{kind-smile},🤭
{kind-smile},🙃
{kind-smile},😉
{kind-smile},😌
{open-mouth-smile},😁
{open-mouth-smile},😆
{open-mouth-smile},🤩
{open-mouth-smile},😄
{open-mouth-smile},😀
{open-mouth-smile},😃
{cute-smile},😆
{cute-smile},😝
{laughing-out},😂
{laughing-out},🤣
{solid-sad},😢
{solid-sad},😔
{solid-sad},😞
{solid-sad},😩
{solid-sad},😥
{solid-sad},☹️
{solid-sad},😕
{flower},🌹
{flower},🌸
{flower},🌷
{flower},💐
{check-mark},✅
{check-mark},✔️
{dunno},🤔
{dunno},🙄
{dunno},🤷
{dunno},🤪
{good-job},👍
{good-job},👏
{good-job},🎉
{good-job},💯
{good-job},🎊
{star},✨
{star},🌟
{star},⭐
{mad},😡
{mad},😠
{hope},🙏
{hope},🍀
😭,😭
😅,😅
🔥,🔥
💔,💔
💪,💪
👌,👌
😎,😎
🤦,🤦
✌️,✌️
😱,😱
🙌,🙌
😋,😋
😏,😏
👇,👇
🎶,🎶
😒,😒
❗,❗
😜,😜
💋,💋
👀,👀
😪,😪
😑,😑
💥,💥
🙋,🙋
👊,👊
☀️,☀️
🤤,🤤
👉,👉
💃,💃
😳,😳
✋,✋
😴,😴
😬,😬
😻,😻
😓,😓
🌈,🌈
😈,😈
🤘,🤘
💦,💦
😣,😣
🏃,🏃
☝️,☝️
