x,y,split
맞아맞아 그렇긴 하지,N,-0.04117250079143889
근데 난 내용이 맘에 안 들거나 더 안 읽어도 되겠다 싶으면 다 안 읽었는데도 읽은 책처럼 생각해,N,0.3909042827482626
오늘의 한마디를 주세요,N,-1.5601064604831532
드리핀 드리핀과함께하는멘션파티 이거 때문에 어제 실 주문을 한지라,N,-0.020515557397564336
매우 찔립니다요 근데 넘 잘 입을 것 같아서 함뜨참가,N,0.0027163211003564582
얍 색조합 잘 못하는데 원작하고 비슷하게 갑니다,😂,-0.4817073391496744
까까님 생일메세지 정말 감사해요,🥺,-1.338438683620991
아 내스급 성현제 책갈피가 아니라 옷핀입니다,😂,1.6156132042546216
정규직 기다려라모두들 감사합니다,❤,0.11931489760514237
유튜브는 아직 남았어용,N,-1.721602725705787
크래비티 형준 아이돌라이브 뮤지광,N,-0.9169906390452731
우왕 솜사탕차배치가 초컷이래서,😂,0.5891498953010805
도영이 커버곡이 들어간 도 함 오늘도 고생했어요 트레저메이커,❤,-0.2218978615671113
하루토,N,0.10909741082286063
슬슬 이 계정 첫번째 트정 준비 할게요,N,0.4704419578461929
저랑 계속 인연이 되고 싶으신 분들은 흔적 부탁해요,N,0.8118823831374002
기간은 넉넉하게 월 첫째주 금요일까지,❤,-0.9617176673380434
제가 지뢰시라면 먼저 써셔도 좋습니다트정 같은 경우는 트친들도 얄짤 없어요ㅜ,N,1.092788751571036
아래 공지사항을 꼭 읽으신 후 이벤트에 함께 해주세요,👍,0.620856968933999
에스에프나인  루아이의 넘치는 애정을 받고 모두의 마음을 이리저리 흔들던 요한이의 깜짝 반전 엔딩,😍,-0.8519525124424274
애교쟁이 요하니가 오늘 하루의 힘이 되셨기를 바라며 감기 조심하시고 내일 만나요,❤,0.6570715335103191
위아이 루아이  엔하이픈 희승희승이는 하늘에서 가장 빛나는 별,❤,1.3699917531561199
극장판 개봉을 기념하여 본 트윗을 알티해주시는 분들 중 추첨을 통해 메가박스 인권을 드립니다,N,-0.5084747415946267
과금님의 저 작은 그림까지 너무 갓벽,N,-1.2915123876131251
스티커로 내주세요,N,-0.09482542915714048
핡 굿즈로 사고싶을정도로 갓벽해여,❤,-0.8929673727042216
