x,y
넵넵 저 늦게 해시 투표 동참한거 사실,N
조금 많이 죄송하긴 해써요,😂
열심히 슨배님덜 따라갈게요,😍
맞아맞아 그렇긴 하지,N
근데 난 내용이 맘에 안 들거나 더 안 읽어도 되겠다 싶으면 다 안 읽었는데도 읽은 책처럼 생각해,N
오늘의 한마디를 주세요,N
드리핀 드리핀과함께하는멘션파티 이거 때문에 어제 실 주문을 한지라,N
매우 찔립니다요,N
근데 넘 잘 입을 것 같아서 함뜨참가,N
얍 색조합 잘 못하는데 원작하고 비슷하게 갑니다,😂
까까님 생일메세지 정말 감사해요,🥺
끝까지 덕질해라는 뜻인가봐요,😇
까까님도 남은 시간 즐겁게 보내세요,🥰
아 내스급 성현제 책갈피가 아니라 옷핀입니다,😂
뮤지광컴퍼니는 끝났지만 나는 멈추지 않는다,N
정규직 기다려라,N
모두들 감사합니다,❤
유튜브는 아직 남았어용,N
크래비티 형준 아이돌라이브 뮤지광,N
우왕 솜사탕,😙
차배치가 초컷이래서,😂
우리껀 춘절이후에 받아욥요기는 솜사탕 차폼이용,😁
에에 아직 못갈겼어 담달에 살구야,N
흐뭇하게 시작해서 중간에 탈탈 거리는 장면에서 빵 터졌다가 마지막에 울컥했어요,😂
꼬기 하늘에서 뚝,N
떨어진 아기 천사 생일 기념 이벤트,🔥
도영이의 생일을 맞이해 초특급 감성목소리를 더욱 짜릿하게 즐길 수 있는 카세트 플레이어를 준비해봤습니다,N
도영이 커버곡이 들어간 도 함 오늘도 고생했어요 트레저메이커,❤
하루토,N
아 내 망태기 크고 아늑하니깐 편히 쉴겨,❤
슬슬 이 계정 첫번째 트정 준비 할게요,N
저랑 계속 인연이 되고 싶으신 분들은 흔적 부탁해요,N
기간은 넉넉하게 월 첫째주 금요일까지,❤
제가 지뢰시라면 먼저 써셔도 좋습니다트정 같은 경우는 트친들도 얄짤 없어요ㅜ,N
ㅜ기요미들 꼬옥 흔적 남겨주기,🌌
바로 내일 시 콘서트가 개최됩니다,📣
아래 공지사항을 꼭 읽으신 후 이벤트에 함께 해주세요,👍
내일 만나요 판타지,🙌
에스에프나인  루아이의 넘치는 애정을 받고 모두의 마음을 이리저리 흔들던 요한이의 깜짝 반전 엔딩,😍
애교쟁이 요하니가 오늘 하루의 힘이 되셨기를 바라며 감기 조심하시고 내일 만나요,❤
위아이 루아이  엔하이픈 희승희승이는 하늘에서 가장 빛나는 별,❤
,❤
극장판 개봉을 기념하여 본 트윗을 알티해주시는 분들 중 추첨을 통해 메가박스 인권을 드립니다,N
과금님의 저 작은 그림까지 너무 갓벽,N
스티커로 내주세요,N
제가 왕창 살게여,😍
핡 굿즈로 사고싶을정도로 갓벽해여,❤
하트뿅뿅,😍
하트뿅,N
멋있는 승민이,😍
야매 그림 뭐가 좋다구 그리 절 띄워주시는지 부끄러 죽겟어용 아주,N
민서에게 나는 당신의 차선으로 끌려가고 있다고 말하고 싶어요 사랑해요,N
하트뿅뿅,😍
하트뿅,N
와 ㅅㅂ 잠시만요,😍
그정도면이쁜거지ㅇㅈㄹ하믄것도걍 어쩌라고싶음하,N
ㅇㅉ라고 내가 표지만들엇냐고 걍 올해 표지가 족같다고 내가옛날얘기꺼낸적잇냐고ㅜ죄송해요저도고삼이라그런지예민해서ㅠ,N
헤헷콩딱 가끔 재업 타래,❤
내가 좋아하는 국민 착장,😍
국민 국민연성,N
샘 좋긴한데 왜 눈물이나죵,N
신이가 납니다,🤣
짜짜박박,🤣
꼭 봐야 하는 휘인 보는 라디오 딘딘의 뮤직하이,N
이형열얘 누가 녹였어,N
이미 올해부터 만원인데,🤣
만원으로 줄인다는 건가,N
이게 공약이야,N
하지만 알면서도 또 놀라는 재미,N
가 있지요,🤣
나 오늘,🐰
아 깜짝아,N
왜이러케 목소리가 커어,N
문스타한테 미칑 건 엠카뿐이 아니겠즤,❓
문스타 매력 밤하늘 별보다 많다,⭐
엠카를 들었다 놨다,🤣
오늘도 문별이때문에 열두번도 더 오르내리는 하루루나나나루나틱,😝
문별  문스타한테 미칑 건 엠카뿐이 아니겠즤,❓
문스타 매력 밤하늘 별보다 많다,⭐
엠카를 들었다 놨다,🤣
오늘도 문별이때문에 열두번도 더 오르내리는 하루루나나나루나틱,😝
문별  복붙,N
실검 올라가면 현근택 잘린다,N
현근택꼴보기싫어윤석열찍는다 뿌듯하네요,😊
더보이즈 리빌 풀구성 풀셋 뉴 포카 찬희 포카 엽서,N
에 양도합니다,N
양도합니다 디엠주세요,😊
포카 찬희 엽서 찬희필름 케빈 포춘 상연 앨범 문버전,N
어디 몸에 생채기는 나진 않았나요,N
이리 얼굴을 또 맞이하니 기쁘네요,N
언니 안녕,😊
헤헿 온마음 다해 널,😊
사랑해 최유나,🥰
엠카랑 놀이해,😝
영원히 함께해,😘
유주가 피어나,🌼
내 우주가 물들어,💕
사랑한다 최유나,🥳
유주 모든 순간 레코딩,🔴
할 준비 완,N
유주 놀이,N
알아서 다가오세요 먼저 다가갈줄 몰라요,😊
그쵸앗 그리고 샘,N
문 두드리는 사람 잇음 말해요저일거에요가까이서 한번더 보게요,N
꾹꾹이랑 수다 타임 넘 행복해따,😊
달밤이랑 수다할 날도 기다려 기다려,💜
푹 주무세요,N
계정 키우려고 한분께 덕자,N
드려요괄은 꼭 부탁드릴게요,🥺
타니님 소환 보라해요,💜
소중한 버터 같이 올려보아요중복이시면 죄송합니다,🙏
비나이다 비나이다,🙏
고장난노래방케플러통컬어제부터 눈 초롱초롱 뜨고 기다려 온 통컬 고장난노래방,🎶
피자치킨에 진심인 울 짱플러 우당탕탕 춤추는걸 보는데 저도 모르게 심장이 쿵쿵쿵 나와줄거라고 부시모 믿습ㄴ다,🙏
저쪽은 글 하나당 평균 가 몇백개씩 된다고 하는데요 우리는 맘만 먹으면 밀리언도 가능한 킹탄의 킹미들이잖아요,N
틈날때마다 좀 더 힘냅시다,N
주차는 막을 수 있어요,N
